team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
Dallas Mavericks,Oklahoma City Thunder,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Orlando Magic,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,1
Orlando Magic,Oklahoma City Thunder,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Miami Heat,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,1
Miami Heat,Oklahoma City Thunder,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Sacramento Kings,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5609756097560976,7.135,1.725,0.06206373307725378,26.6,1
Sacramento Kings,Oklahoma City Thunder,0.5609756097560976,7.135,1.725,0.06206373307725378,26.6,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Houston Rockets,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5,8.829411764705881,1.8352941176470587,0.08744396867439636,21.1,1
Houston Rockets,Oklahoma City Thunder,0.5,8.829411764705881,1.8352941176470587,0.08744396867439636,21.1,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Los Angeles Lakers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.573170731707317,7.247619047619047,1.8142857142857143,0.06413881824977902,25.7,1
Los Angeles Lakers,Oklahoma City Thunder,0.573170731707317,7.247619047619047,1.8142857142857143,0.06413881824977902,25.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Chicago Bulls,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.47560975609756095,8.961111111111112,1.8277777777777777,0.1395530087603578,24.0,1
Chicago Bulls,Oklahoma City Thunder,0.47560975609756095,8.961111111111112,1.8277777777777777,0.1395530087603578,24.0,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Atlanta Hawks,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.43902439024390244,9.205263157894738,2.110526315789474,0.12178512087843403,25.7,1
Atlanta Hawks,Oklahoma City Thunder,0.43902439024390244,9.205263157894738,2.110526315789474,0.12178512087843403,25.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Brooklyn Nets,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.3902439024390244,8.295238095238094,2.2523809523809524,0.16488751333965257,22.5,1
Brooklyn Nets,Oklahoma City Thunder,0.3902439024390244,8.295238095238094,2.2523809523809524,0.16488751333965257,22.5,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Utah Jazz,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.3780487804878049,9.257142857142858,2.238095238095238,0.18481518313808962,23.2,1
Utah Jazz,Oklahoma City Thunder,0.3780487804878049,9.257142857142858,2.238095238095238,0.18481518313808962,23.2,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,San Antonio Spurs,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.2682926829268293,8.254999999999999,2.175,0.1986114676308637,21.4,1
