Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Miller,,SF,74,32.2,6.4,14.6,0.44,2.5,6.7,0.373,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5,17.3
Tobias Harris,Philadelphia 76ers,PF,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,2.7,3.0,0.878,1.1,5.3,6.5,3.1,1.0,0.7,1.3,1.6,17.2
Jordan Clarkson,Utah Jazz,SG,55,30.6,6.1,14.8,0.413,1.7,5.6,0.294,3.2,3.7,0.881,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,17.1
Myles Turner,Indiana Pacers,C,77,27.0,6.2,11.8,0.524,1.5,4.2,0.358,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3.0,17.1
Immanuel Quickley,,SG,68,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.8,17.0
Immanuel Quickley,New York Knicks,SG,30,24.0,5.1,11.2,0.454,2.1,5.4,0.395,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0
Immanuel Quickley,Toronto Raptors,PG,38,33.3,6.2,14.7,0.422,2.8,7.1,0.395,3.3,4.0,0.841,0.3,4.5,4.8,6.8,0.9,0.2,1.8,2.0,18.6
Bogdan Bogdanovic,Atlanta Hawks,SG,79,30.4,6.0,13.9,0.428,3.0,8.1,0.374,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9
Deandre Ayton,Portland Trail Blazers,C,55,32.4,7.8,13.6,0.57,0.0,0.2,0.1,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.0,16.7
Michael Porter Jr.,Denver Nuggets,SF,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,1.1,1.4,0.836,1.3,5.7,7.0,1.5,0.5,0.7,1.1,1.8,16.7
James Harden,Los Angeles Clippers,PG,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6
Jarrett Allen,Cleveland Cavaliers,C,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5
