id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
59,Franz Wagner,Orlando Magic,SF,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,3.8,4.4,0.85,1.0,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.06463414634146342,0.16991045725084333
60,Mikal Bridges,Brooklyn Nets,SF,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1.0,0.4,2.0,1.4,19.6,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.054878048780487805,0.1334952815659041
61,Jalen Green,Houston Rockets,SG,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.06341463414634146,0.15431988430477245
62,Zach LaVine,Chicago Bulls,SG,25,34.9,6.8,15.0,0.452,2.4,6.8,0.349,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.06341463414634146,0.14546444286513538
63,Devin Vassell,San Antonio Spurs,SG,68,33.1,7.3,15.5,0.472,2.4,6.6,0.372,2.4,3.0,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.046341463414634146,0.1432243577432746
64,Domantas Sabonis,Sacramento Kings,C,82,35.7,7.7,13.0,0.594,0.4,1.1,0.379,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.1670731707317073,0.19458355410463707
65,Bam Adebayo,Miami Heat,C,71,34.0,7.5,14.3,0.521,0.2,0.6,0.357,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.12682926829268293,0.12622743110547988
66,Coby White,Chicago Bulls,PG,79,36.5,6.8,15.3,0.447,2.6,7.0,0.376,2.8,3.3,0.838,0.6,4.0,4.5,5.1,0.7,0.2,2.1,2.4,19.1,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.054878048780487805,0.1503712216291413
67,Jalen Williams,Oklahoma City Thunder,PF,71,31.3,7.5,14.0,0.54,1.5,3.4,0.427,2.5,3.1,0.814,0.5,3.5,4.0,4.5,1.1,0.6,1.7,2.5,19.1,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.04878048780487805,0.15609756097560976
68,Collin Sexton,Utah Jazz,SG,78,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,18.7,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.03170731707317073,0.1215622804376192
